icao,name
09GE,Dawsonville - Elliott
09I,International Falls Intl
09IA,Brooklyn Skydive
09ID,Moscow - Area
09II,Valeene - Gibbons
09IL,O'Fallon - Elizabeth'S
09IN,Columbia City - Gordon
09IS,Rockford - Swedish American
09J,Jekyll Island
09K,Sargent
09KS,Wellsville - Coffman
09KY,Louisville - Baptist Hospital
09LA,Grand Isle - Helibase
09LL,Capron - Pine Hill
09LS,St Francisville - West
09M,Charleston Muni
09MA,Southborough - Kallander
09MD,Mchenry - Fly Deep Creek
09ME,Berwick - Perrotti Skyranch
09MI,Michigan Ntl
09MN,White Bear Township - Salisbury
09MO,Willard - Hogue Farm
09MT,Sula - Paint Creek Ranch
09N,Staatsburg - Airhaven
09NC,Broadway - William Irving Lewis
09NE,Bennington - Summer Hill Farm
09NJ,Somerville - Stonebridge Farm Helistop
09NR,Ramseur - Dakota Air Ranch
09NV,Henderson West
09NY,Kingston - D Storm Meml
09OK,Collinsville - Ragtime Aerodrome
09OR,The Dalles - Mid-Columbia Medical Center
09PA,Port Matilda - Eagle
09R,Woodville - Tyler
09S,Metaline Falls - Sullivan Lake State
09T,Decatur - Ranch
09TA,Ravenna - Xwind Farm
09TE,Glen Rose - Running M Ranch
09TN,Knoxville Univ
09TS,Marathon - Ranch
09TX,Sheffield - Smokey Mtn Ranch
09UT,Moab - Rustler Canyon Airstrip
09VA,Floyd - Alum Ridge
09VG,Fishersville - Augusta Medical Center
09W,Washington - South
09WA,Spokane - Holy Family Hospital
09WI,Holmen - Parkway Farm Strip
09XA,Elmendorf - Braunig Ehlf
09XS,San Antonio - Baptist Medical Center
09Y,Inver Grove Hgts - Wipline
0A3,Smithville Muni
0A4,Johnson City
0A7,Hendersonville
0A8,Centreville - Bibb County
0A9,Elizabethton
0AA1,Yakataga
0AA4,Farewell
0AA5,Trapper Creek - Rangeview Airstrip
0AA6,Haines - Big Salmon
0AA7,Kenai - Kalifonsky Meadows
0AK,Pilot Station
0AK0,North Pole - Scotts
0AK1,Wasilla - Anderson Lake
0AK2,Willow - Yentna Bend Strip
0AK3,Montana Creek - Parker Lake
0AK5,May Creek Young
0AK6,Victory Bible Camp
0AK7,Homer - Airstrip
0AK8,Mccarthy - Fireweed
0AK9,Point Mackenzie - Falcon Lake Strip
0AL1,Foley - Resort
0AL2,Ashland - Clay County Hospital
0AL3,Evergreen - Hospital Pad
0AL4,Fort Payne - Dekalb
0AL5,Flomaton
0AL6,Brewton - Hospital
0AL7,Gadsden
0AL8,Birmingham - Brookwood Medical Center
0AL9,Florence - Wilson Creek
0AR0,Springdale - Smh
0AR1,Centerville - Hooterville South
0AR2,Crawfordsville - Mission
0AR3,Point Cedar - Bent Hickory Air
0AR4,Gravette - Ozarks Community Hospital
0AR5,Jonesboro - Rgnl
0AR6,Hot Springs - Center
0AR7,Watson - Yancopin
0AR8,Nashville - Howard Meml Hospital
0AR9,Eureka Springs
0AZ0,Arizona Heart
0AZ1,Tonopah - Eagletail
0AZ2,Salome - Western Sky
0AZ4,Mobile - Flying Bucket Ranch
0AZ5,Morristown - Castle Well
0AZ6,Phoenix - Joseph'S
0AZ9,Bullhead City - Eagle
0B1,Bethel Rgnl
0B2,Brewer
0B4,Hartington
0B5,Montague - Turners Falls
0B7,Warren Sugarbush
0B8,Fishers Island - Elizabeth
0C0,Harvard - Dacy
0C1,Dearborn - Triple R
0C2,Hinckley
0C4,Pender Muni
0C5,Mecosta - Canadian Lakes
0C8,Newark - Cushing
0CA0,Del Rey - Pom Wonderful Airstrip
0CA1,Castro Valley
0CA2,West Los Angeles
0CA3,Santa Ynez - Crawford
0CA4,Santa Ynez - Shepherd Farm
0CA5,Santa Ysabel - Hoffman
0CA6,Ocotillo - Emory
0CA8,Aguanga - Ward Ranch
0CA9,Shandon - Blech Ranch
0CD0,Delta County
0CD1,Colorado Medical
0CD2,Yoder - Foxx Valley
0CD4,Denver - Kauffman
0CD5,Trinidad - Pinon Canyon
0CD6,Lafayette - Exempla Good Samaritan
0CD7,Lafayette - Fox Hole
0CD8,Lamar - Prowers Medical Center
0CD9,Littleton - Medical
0CL0,Raymond - Ranch
0CL1,Adelanto - Krey
0CL3,Chula Vista - John Nichol'S
0CL4,Glendale - 700
0CL5,Irvine - The Atrium
0CL6,Lancaster - Bohunk'S
0CL7,Los Angeles - Good Samaritan Hospital
0CL8,Ridgecrest - Tera
0CL9,Romoland - Center
0CN1,Delhi - Fiorini Ranch
0CN2,Live Oak - Sutter Butte Dusters
0CO0,Longmont
0CO1,Louisville - Dave
0CO2,Crested Butte
0CO3,Bennett - Greggs Nr 1
0CO5,Kiowa - Lebeau Ranch
0CO6,Norwood - Ranch
0CO7,Fort Collins - Century Helicopters
0CO8,Mead - Cartwheel
0CO9,Monte Vista - Van Treese
0CT0,Sharon Hospital
0CT2,Willimantic - Windham Hospital
0CT3,New Britain - H
0CT5,Hartford - St Francis Hospital
0CT7,Bridgeport Hospital
0CT8,Danbury Hospital
0CT9,Hartford Hospital
0D7,Ada
0D8,Gettysburg Muni
0E0,Moriarty
0E8,Crownpoint
0E9,Corydon
0F2,Bowie
0F3,Spirit Lake
0F4,Loup City
0F7,Eufaula - Fountainhead Lodge
0F9,Tishomingo
0FA0,Miami - Club
0FA1,Arcadia - Ott'S Landing
0FA2,Perry - #2
0FA5,Oakland - Briley Farm
0FA6,Immokalee Helipad
0FA9,Altamonte Springs - Paradise Landing
0FD0,Ormond Beach - The 2A Ranch
0FD1,Panama City Beach - Panhandle Helicopter Llc
0FD2,Miami - Hard Rock Stadium
0FD3,Freeport - Dugger
0FD4,Blountstown - Yoder
0FD5,Defuniak Springs - Breezy Knoll
0FD6,Sebastian - Fulton
0FD9,Defuniak Springs - Joy Farms
0FL0,Clewiston - Harpers Fly-In Ranch
0FL1,Tampa South
0FL2,Geneva - Alligator Drink
0FL3,Old Town
0FL6,Panama City Beach West
0FL7,Orlando - Wkmg-Tv
0FL8,Jacksonville - Gary Gale
0FL9,Clewiston - Inc
0G3,Tecumseh Muni
0G5,Grand Marais/Cook County
0G6,Bryan - Williams
0G7,Seneca Falls - Finger Lakes
0GA0,Hampton - Halls Flying Ranch
0GA1,Hartwell - Mustang Fld
0GA2,"Hartwell - Airnautique, Inc"
0GA3,Temple - Ayresouth
0GA4,High Shoals - Paradise Falls
0GA6,Jersey - Sunset Strip
0GA7,Temple - Hickory Level
0GA8,Valdosta - Paso Fino Farm
0GA9,Roberta - Park
0GE0,Douglasville - Pinewood
0GE1,Irwinville - Crystal Lake Airpark
0GE3,Trenton - Lookout Mountain
0GE4,Sunnyside - Pecan Patch Airstrip
0GE5,Cleveland - Mountain
0GE7,Appling - Carpenter
0GE9,Rocky Ford - Pegasus Ranch
0H1,Wakeeney
0H7,Kahoka
0I2,Brazil
0I8,Cynthiana
0IA,Warsaw - Barbee Lake
0IA0,Knoxville Area
0IA1,Carroll - St Anthony
0IA2,Audubon Meml
0IA3,Waterloo - Hawkeye
0IA4,Mediapolis - Sharar
0IA5,Millerton - Moore
0IA6,Cresco - Rgnl
0IA8,Center Point - Hannen
0IA9,Reserve Army
0ID,Thatcher - W E Ranch
0ID0,Featherville - South
0ID1,Filer - Ziggy'S
0ID2,May - Flying Joseph Ranch
0ID3,Mountain Home - Coyote Run
0ID4,Shoshone - Black Butte Ranch
0ID5,Oreana - Ez Lope Ranch
